# OCP of NMC811 (cathode) vs Li/Li+ digitized from https://real.hanyang.ac.kr/materials
# sto,ocp
0.330000,4.155780
0.330830,4.154810
0.331670,4.153840
0.332500,4.152870
0.333330,4.151910
0.334170,4.150940
0.335000,4.149960
0.335830,4.148990
0.336670,4.148040
0.337500,4.147060
0.338330,4.146070
0.339170,4.145050
0.340000,4.144050
0.340830,4.143050
0.341670,4.142040
0.342500,4.141040
0.343330,4.140040
0.344170,4.139040
0.345000,4.138030
0.345830,4.137030
0.346670,4.136050
0.347500,4.135030
0.348330,4.134010
0.349170,4.132970
0.350000,4.131910
0.350830,4.130870
0.351670,4.129780
0.352500,4.128710
0.353330,4.127640
0.354170,4.126570
0.355000,4.125500
0.355830,4.124430
0.356670,4.123370
0.357500,4.122290
0.358330,4.121200
0.359170,4.120110
0.360000,4.118980
0.360830,4.117860
0.361670,4.116710
0.362500,4.115580
0.363330,4.114440
0.364170,4.113320
0.365000,4.112160
0.365830,4.111010
0.366670,4.109840
0.367500,4.108650
0.368330,4.107470
0.369170,4.106250
0.370000,4.105050
0.370830,4.103840
0.371670,4.102640
0.372500,4.101440
0.373330,4.100230
0.374170,4.099050
0.375000,4.097820
0.375830,4.096600
0.376670,4.095350
0.377500,4.094110
0.378330,4.092880
0.379170,4.091660
0.380000,4.090410
0.380830,4.089150
0.381670,4.087850
0.382500,4.086590
0.383330,4.085340
0.384170,4.084140
0.385000,4.082890
0.385830,4.081630
0.386670,4.080330
0.387500,4.079070
0.388330,4.077820
0.389170,4.076620
0.390000,4.075370
0.390830,4.074110
0.391670,4.072810
0.392500,4.071550
0.393330,4.070300
0.394170,4.069080
0.395000,4.067850
0.395830,4.066610
0.396670,4.065360
0.397500,4.064140
0.398330,4.062920
0.399170,4.061730
0.400000,4.060520
0.400830,4.059320
0.401670,4.058120
0.402500,4.056920
0.403330,4.055710
0.404170,4.054490
0.405000,4.053310
0.405830,4.052120
0.406670,4.050950
0.407500,4.049800
0.408330,4.048650
0.409170,4.047520
0.410000,4.046390
0.410830,4.045250
0.411670,4.044120
0.412500,4.042980
0.413330,4.041850
0.414170,4.040690
0.415000,4.039570
0.415830,4.038450
0.416670,4.037350
0.417500,4.036260
0.418330,4.035170
0.419170,4.034130
0.420000,4.033060
0.420830,4.031980
0.421670,4.030890
0.422500,4.029850
0.423330,4.028790
0.424170,4.027790
0.425000,4.026740
0.425830,4.025680
0.426670,4.024570
0.427500,4.023530
0.428330,4.022490
0.429170,4.021540
0.430000,4.020520
0.430830,4.019500
0.431670,4.018430
0.432500,4.017410
0.433330,4.016390
0.434170,4.015400
0.435000,4.014400
0.435830,4.013400
0.436670,4.012400
0.437500,4.011390
0.438330,4.010390
0.439170,4.009370
0.440000,4.008390
0.440830,4.007400
0.441670,4.006470
0.442500,4.005480
0.443330,4.004500
0.444170,4.003460
0.445000,4.002470
0.445830,4.001490
0.446670,4.000550
0.447500,3.999560
