x_p,delta_V
0.2848011811,-0.0205701178
0.2848977300,-0.0205310889
0.2849942790,-0.0204912019
0.2850908280,-0.0204504799
0.2851873769,-0.0204089458
0.2852839259,-0.0203666226
0.2853804749,-0.0203235352
0.2854770239,-0.0202797066
0.2855735730,-0.0202351588
0.2856701220,-0.0201899148
0.2857666711,-0.0201439977
0.2858632201,-0.0200974308
0.2859597692,-0.0200502370
0.2860563183,-0.0200024397
0.2861528673,-0.0199540618
0.2862494165,-0.0199051265
0.2863459656,-0.0198556571
0.2864425147,-0.0198056767
0.2865390638,-0.0197552084
0.2866356130,-0.0197042755
0.2867321621,-0.0196529011
0.2868287113,-0.0196011085
0.2869252605,-0.0195489208
0.2870218097,-0.0194963613
0.2871183589,-0.0194434532
0.2872149081,-0.0193901932
0.2873114573,-0.0193366232
0.2874080065,-0.0192827682
0.2875045558,-0.0192286510
0.2876011051,-0.0191742942
0.2876976543,-0.0191197207
0.2877942036,-0.0190649532
0.2878907529,-0.0190100143
0.2879873022,-0.0189549269
0.2880838515,-0.0188997137
0.2881804008,-0.0188443972
0.2882769502,-0.0187890003
0.2883734995,-0.0187335456
0.2884700489,-0.0186780557
0.2885665983,-0.0186225534
0.2886631477,-0.0185670614
0.2887596970,-0.0185116021
0.2888562465,-0.0184561984
0.2889527959,-0.0184008928
0.2890493453,-0.0183457533
0.2891458947,-0.0182907533
0.2892424442,-0.0182359169
0.2893389937,-0.0181812679
0.2894355431,-0.0181268305
0.2895320926,-0.0180726287
0.2896286421,-0.0180186866
0.2897251916,-0.0179650283
0.2898217412,-0.0179116781
0.2899182907,-0.0178586602
0.2900148403,-0.0178059988
0.2901113898,-0.0177537182
0.2902079394,-0.0177022343
0.2903044890,-0.0176519111
0.2904010386,-0.0176026952
0.2904975882,-0.0175545331
0.2905941378,-0.0175073714
0.2906906874,-0.0174611568
0.2907872371,-0.0174157361
0.2908837867,-0.0173710707
0.2909803364,-0.0173271625
0.2910768860,-0.0172839566
0.2911734357,-0.0172413977
0.2912699854,-0.0171994307
0.2913665351,-0.0171580005
0.2914630849,-0.0171170521
0.2915596346,-0.0170765301
0.2916561844,-0.0170363796
0.2917527341,-0.0169965454
0.2918492839,-0.0169569724
0.2919458337,-0.0169176054
0.2920423835,-0.0168783893
0.2921389333,-0.0168392690
0.2922354831,-0.0168001894
0.2923320329,-0.0167610953
0.2924285828,-0.0167219316
0.2925251326,-0.0166826432
0.2926216825,-0.0166431918
0.2927182324,-0.0166035086
0.2928147822,-0.0165635382
0.2929113321,-0.0165232256
